Keys;3H-Block-S1;3H-Block-S2;3H-Block-S3;3H-Block-S4;3H-Block-S5;3H-Block-S6;3H-Block-S7;3H-Block-S8;3H-Block-S9;3H-Block-S10;3H-Block-S11;3H-Block-S12;3H-Block-S13;3H-Block-S14;3H-Block-S15;3H-Block-S16;3H-Block-S17;3H-Block-S18;3H-Block-S19;3H-Block-S20;3H-Block-S21;3H-Block-S22;3H-Block-S23;3H-Block-S24;3H-Block-S25;3H-Block-S26;3H-Block-S27;3H-Block-S28;3H-Block-S29;3H-Block-S30;3H-Block-S31;3H-Block-S32;3H-Block-S33;3H-Block-S34;3H-Block-S35;3H-Block-S36;3H-Block-S37;3H-Block-S38;3H-Block-S39;3H-Block-S40;3H-Block-S41;3H-Block-S42;3H-Block-S43;3H-Block-S44;3H-Block-S45;3H-Block-S46;3H-Block-S47;3H-Block-S48;3H-Block-S49;3H-Block-S50;3H-Block-S51;3H-Block-S52;3H-Block-S53;3H-Block-S54;3H-Block-S55;3H-Block-S56;3H-Block-S57;3H-Block-S58;3H-Block-S59;3H-Block-S60;3H-Block-S61;3H-Block-S62;3H-Block-S63;3H-Block-S64;3H-Block-S65;3H-Block-S66;3H-Block-S67;3H-Block-S68;3H-Block-S69;3H-Block-S70;3H-Block-S71;3H-Block-S72;3H-Block-S73;3H-Block-S74;3H-Block-S75;3H-Block-S76;3H-Block-S77;3H-Block-S78;3H-Block-S79;3H-Block-S80;3H-Block-S81;3H-Block-S82;3H-Block-S83;3H-Block-S84;3H-Block-S85;3H-Block-S86;3H-Block-S87;3H-Block-S88;3H-Block-S89;3H-Block-S90;3H-Block-S91;3H-Block-S92;3H-Block-S93;3H-Block-S94;3H-Block-S95;3H-Block-S96;3H-Block-S97;3H-Block-S98;3H-Block-S99;3H-Block-S100;3H-Block-S101;3H-Block-S102;3H-Block-S103;3H-Block-S104;3H-Block-S105;3H-Block-S106;3H-Block-S107;3H-Block-S108;3H-Block-S109;3H-Block-S110;3H-Block-S111;3H-Block-S112;3H-Block-S113;3H-Block-S114;3H-Block-S115;3H-Block-S116;3H-Block-S117;3H-Block-S118;3H-Block-S119;3H-Block-S120;3H-Block-S121;3H-Block-S122;3H-Block-S123;3H-Block-S124;3H-Block-S125;3H-Block-S126;3H-Block-S127;3H-Block-S128
Data;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL;DLBCL
Model/Layers/Input/ActionType;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu
Model/Layers/Input/DistanceType;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst
Model/Layers/Input/Geometry;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean
Model/Layers/Input/NeuronCount;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Model/Layers/Hidden/NeuronCount;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34;34,34,34
Model/Layers/Hidden/ActionType;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu;LReLu
Model/Layers/Hidden/DistanceType;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst;GaussianConst
Model/Layers/Hidden/Geometry;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean;Euclidean
Model/Layers/Hidden/GroupCount;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
Model/Layers/Hidden/DropoutProbability;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO;AUTO
